https://iqac.cusat.ac.in/Web/profile_view/97/Prof.Dr.SUNILK.NARAYANANKUTTY,dr-sunil,Dr. Sunil N. Kutty,Professor & Head
https://iqac.cusat.ac.in/Web/profile_view/81/Prof.Dr.HONEYJOHN,dr-honey,Dr. Honey John,Professor
https://iqac.cusat.ac.in/Web/profile_view/297/PRASANTHRRAGHAVAN,dr-prasanth,Dr. Prasanth R.,Professor
https://iqac.cusat.ac.in/Web/profile_view/78/Prof.SAILAJAGS,dr-sailaja,Dr. Sailaja G. S,Professor
https://iqac.cusat.ac.in/Web/profile_view/74/Dr.JAYALATHAGOPALAKRISHNANG.,dr-jayalatha,Dr. Jayalatha Gopalakrishan,Assoc. Professor
https://iqac.cusat.ac.in/Web/profile_view/22/Dr.JINUJACOBGEORGE,dr-jinu,Dr. Jinu J. George,Asst. Professor
https://iqac.cusat.ac.in/Web/profile_view/51/Dr.ABHITHAK.,dr-abhitha,Dr. Abhitha K.,Asst. Professor
https://iqac.cusat.ac.in/Web/profile_view/56/Prof.Dr.THOMASKURIAN,dr-thomas,Dr. Thomas Kurian,Professor Adjunct
pdf-files/bio_cpr_new.pdf,dr-cpr-nair,Dr. C.P.R. Nair,Professor Emeritus
pdf-files/bio_sari.pdf,dr-sari,Dr. Sari P.S.,Asst. Professor (Contract)
